Solution Label,Type,Element,Flags,Soln Conc,Units,Corr Con,Units,Int
UMES 37447,Samp,S 181.972,,4.36,ppm,4.36,ppm,1810
UMES 37447,Samp,Zn 206.200,,0.1,ppm,0.1,ppm,478.4
UMES 37448,Samp,Al 394.401,,0.2,ppm,0.2,ppm,6779
UMES 37448,Samp,Ca 422.673,,9.12,ppm,9.12,ppm,3615141
UMES 37448,Samp,Cu 324.754,uv,0,ppm,0,ppm,741.4
UMES 37448,Samp,Fe 238.204,,0.08,ppm,0.08,ppm,3049
UMES 37448,Samp,K MultiCal,,-,ppm,2.77,-,-
UMES 37448,Samp,Mg 280.270,,2.93,ppm,2.93,ppm,367488
UMES 37448,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,646.8
UMES 37448,Samp,Mo 204.598,uv,0,ppm,0,ppm,52.03
UMES 37448,Samp,Na MultiCal,,-,ppm,3.94,-,-
UMES 37448,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,142.5
UMES 37448,Samp,P multical,,-,ppm,0.15,-,-
UMES 37448,Samp,S 181.972,,4.51,ppm,4.51,ppm,1870
UMES 37448,Samp,Zn 206.200,,0.08,ppm,0.08,ppm,357.4
UMES 37449,Samp,Al 394.401,,0.18,ppm,0.18,ppm,6066
UMES 37449,Samp,Ca 422.673,,7.75,ppm,7.75,ppm,3153517
UMES 37449,Samp,Cu 324.754,uv,0,ppm,0,ppm,685.2
UMES 37449,Samp,Fe 238.204,,0.13,ppm,0.13,ppm,5125
UMES 37449,Samp,K MultiCal,,-,ppm,2.42,-,-
UMES 37449,Samp,Mg 280.270,,2.46,ppm,2.46,ppm,308866
UMES 37449,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,602.5
UMES 37449,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,65.25
UMES 37449,Samp,Na MultiCal,,-,ppm,3.79,-,-
UMES 37449,Samp,Ni 230.299,uv,0,ppm,0,ppm,82.85
UMES 37449,Samp,P multical,,-,ppm,0.13,-,-
UMES 37449,Samp,S 181.972,,3.88,ppm,3.88,ppm,1614
UMES 37449,Samp,Zn 206.200,,0.07,ppm,0.07,ppm,327.2
UMES 37450,Samp,Al 394.401,,0.2,ppm,0.2,ppm,6581
UMES 37450,Samp,Ca 422.673,,8.75,ppm,8.75,ppm,3492493
UMES 37450,Samp,Cu 324.754,uv,0,ppm,0,ppm,771.3
UMES 37450,Samp,Fe 238.204,v,0.05,ppm,0.05,ppm,1898
UMES 37450,Samp,K MultiCal,,-,ppm,2.67,-,-
UMES 37450,Samp,Mg 280.270,,2.8,ppm,2.8,ppm,350984
UMES 37450,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,879.1
UMES 37450,Samp,Mo 204.598,uv,0,ppm,0,ppm,42.85
UMES 37450,Samp,Na MultiCal,,-,ppm,3.94,-,-
UMES 37450,Samp,Ni 230.299,uv,0,ppm,0,ppm,95.39
UMES 37450,Samp,P multical,,-,ppm,0.14,-,-
UMES 37450,Samp,S 181.972,,4.43,ppm,4.43,ppm,1836
UMES 37450,Samp,Zn 206.200,,0.09,ppm,0.09,ppm,419.4
UMES 37451,Samp,Al 394.401,,0.21,ppm,0.21,ppm,6881
UMES 37451,Samp,Ca 422.673,,9.88,ppm,9.88,ppm,3856838
UMES 37451,Samp,Cu 324.754,uv,0,ppm,0,ppm,725
UMES 37451,Samp,Fe 238.204,,0.15,ppm,0.15,ppm,6050
UMES 37451,Samp,K MultiCal,,-,ppm,2.88,-,-
UMES 37451,Samp,Mg 280.270,,3.15,ppm,3.15,ppm,394800
UMES 37451,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,900.3
UMES 37451,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,78.62
UMES 37451,Samp,Na MultiCal,,-,ppm,4.2,-,-
UMES 37451,Samp,Ni 230.299,,0,ppm,0,ppm,120.3
UMES 37451,Samp,P multical,,-,ppm,0.14,-,-
UMES 37451,Samp,S 181.972,,4.99,ppm,4.99,ppm,2061
UMES 37451,Samp,Zn 206.200,,0.11,ppm,0.11,ppm,492
UMES 37452,Samp,Al 394.401,,3.16,ppm,3.16,ppm,85571
UMES 37452,Samp,Ca 422.673,,4.67,ppm,4.67,ppm,2018308
UMES 37452,Samp,Cu 324.754,uv,0,ppm,0,ppm,779.6
UMES 37452,Samp,Fe 238.204,,2.5,ppm,2.5,ppm,99949
UMES 37452,Samp,K MultiCal,,-,ppm,1.47,-,-
UMES 37452,Samp,Mg 280.270,,1.33,ppm,1.33,ppm,166616
UMES 37452,Samp,Mn 259.372,v,0.03,ppm,0.03,ppm,2411
UMES 37452,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,66.17
UMES 37452,Samp,Na MultiCal,,-,ppm,5.27,-,-
UMES 37452,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,148.3
UMES 37452,Samp,P multical,,-,ppm,0.43,-,-
UMES 37452,Samp,S 181.972,,2.85,ppm,2.85,ppm,1199
UMES 37452,Samp,Zn 206.200,,0.06,ppm,0.06,ppm,302.8
UMES 37453,Samp,Al 394.401,,1.49,ppm,1.49,ppm,40999
UMES 37453,Samp,Ca 422.673,,4.68,ppm,4.68,ppm,2019606
