"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"V D36_19-092","Samp","Cu 324.754","",0.00,"ppm",0.00,"ppm",1008
"V D36_19-092","Samp","Fe 238.204","",9.86,"ppm",9.86,"ppm",228169
"V D36_19-092","Samp","K MultiCal","","-","ppm",2.99,"-","-"
"V D36_19-092","Samp","Mg 280.270","",1.94,"ppm",1.94,"ppm",119677
"V D36_19-092","Samp","Mn 259.372","",0.59,"ppm",0.59,"ppm",27854
"V D36_19-092","Samp","Mo 204.598","uv",0.00,"ppm",0.00,"ppm",75.58
"V D36_19-092","Samp","Na MultiCal","","-","ppm",2.60,"-","-"
"V D36_19-092","Samp","Ni 230.299","uv",-0.01,"ppm",-0.01,"ppm",187.0
"V D36_19-092","Samp","P multical","","-","ppm",0.39,"-","-"
"V D36_19-092","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",369.2
"V D36_19-092","Samp","Zn 206.200","",0.04,"ppm",0.04,"ppm",154.7
"V D36_19-093","Samp","Al 394.401","",4.43,"ppm",4.43,"ppm",60990
"V D36_19-093","Samp","Ca 422.673","",5.21,"ppm",5.21,"ppm",548646
"V D36_19-093","Samp","Cu 324.754","uv",0.00,"ppm",0.00,"ppm",907.5
"V D36_19-093","Samp","Fe 238.204","",8.88,"ppm",8.88,"ppm",205416
"V D36_19-093","Samp","K MultiCal","","-","ppm",2.68,"-","-"
"V D36_19-093","Samp","Mg 280.270","",2.28,"ppm",2.28,"ppm",140687
"V D36_19-093","Samp","Mn 259.372","",0.55,"ppm",0.55,"ppm",25686
"V D36_19-093","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",65.34
"V D36_19-093","Samp","Na MultiCal","","-","ppm",3.72,"-","-"
"V D36_19-093","Samp","Ni 230.299","uv",-0.00,"ppm",-0.00,"ppm",209.7
"V D36_19-093","Samp","P multical","","-","ppm",0.38,"-","-"
"V D36_19-093","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",424.9
"V D36_19-093","Samp","Zn 206.200","",0.04,"ppm",0.04,"ppm",145.6
"V D36_19-094","Samp","Al 394.401","",2.72,"ppm",2.72,"ppm",37538
"V D36_19-094","Samp","Ca 422.673","",4.80,"ppm",4.80,"ppm",507104
"V D36_19-094","Samp","Cu 324.754","",0.00,"ppm",0.00,"ppm",922.2
"V D36_19-094","Samp","Fe 238.204","",4.73,"ppm",4.73,"ppm",109696
"V D36_19-094","Samp","K MultiCal","","-","ppm",2.89,"-","-"
"V D36_19-094","Samp","Mg 280.270","",1.62,"ppm",1.62,"ppm",99687
