"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"LTAR19-015","Samp","Fe 238.204","",243.9,"ppm",243.9,"ppm",8663331
"LTAR19-015","Samp","K MultiCal","","-","ppm",7.52,"-","-"
"LTAR19-015","Samp","Mn 259.372","",8.05,"ppm",8.05,"ppm",866971
"LTAR19-015","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",129.4
"LTAR19-015","Samp","Na MultiCal","","-","ppm",0.74,"-","-"
"LTAR19-015","Samp","Ni 230.299","",0.19,"ppm",0.19,"ppm",2490
"LTAR19-015","Samp","P multical","","-","ppm",7.37,"-","-"
"LTAR19-015","Samp","S 181.972","",2.36,"ppm",2.36,"ppm",1036
"LTAR19-015","Samp","Zn 206.200","",0.50,"ppm",0.50,"ppm",2413
"LTAR19-016","Samp","Mg Multical","","-","ppm",7.21,"-","-"
"LTAR19-016","Samp","Ca Multical","o","-","ppm",6.67,"-","-"
"LTAR19-016","Samp","Al 394.401","",120.7,"ppm",120.7,"ppm",2827657
"LTAR19-016","Samp","Cu 324.754","",0.12,"ppm",0.12,"ppm",8366
"LTAR19-016","Samp","Fe 238.204","x",282.0,"ppm",282.0,"ppm",9477454
"LTAR19-016","Samp","K MultiCal","","-","ppm",7.45,"-","-"
"LTAR19-016","Samp","Mn 259.372","",9.18,"ppm",9.18,"ppm",986696
"LTAR19-016","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",122.1
"LTAR19-016","Samp","Na MultiCal","","-","ppm",0.63,"-","-"
"LTAR19-016","Samp","Ni 230.299","",0.19,"ppm",0.19,"ppm",2514
"LTAR19-016","Samp","P multical","","-","ppm",5.96,"-","-"
"LTAR19-016","Samp","S 181.972","",1.66,"ppm",1.66,"ppm",740.5
"LTAR19-016","Samp","Zn 206.200","",0.44,"ppm",0.44,"ppm",2130
"LTAR19-017","Samp","Mg Multical","","-","ppm",9.16,"-","-"
"LTAR19-017","Samp","Ca Multical","o","-","ppm",37.62,"-","-"
"LTAR19-017","Samp","Al 394.401","",83.17,"ppm",83.17,"ppm",2051662
"LTAR19-017","Samp","Cu 324.754","",0.13,"ppm",0.13,"ppm",8847
"LTAR19-017","Samp","Fe 238.204","",142.2,"ppm",142.2,"ppm",5862988
"LTAR19-017","Samp","K MultiCal","","-","ppm",7.09,"-","-"
"LTAR19-017","Samp","Mn 259.372","",3.80,"ppm",3.80,"ppm",412508
"LTAR19-017","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",88.14
"LTAR19-017","Samp","Na MultiCal","","-","ppm",0.81,"-","-"
"LTAR19-017","Samp","Ni 230.299","",0.10,"ppm",0.10,"ppm",1313
"LTAR19-017","Samp","P multical","","-","ppm",5.46,"-","-"
"LTAR19-017","Samp","S 181.972","",2.42,"ppm",2.42,"ppm",1061
"LTAR19-017","Samp","Zn 206.200","",0.39,"ppm",0.39,"ppm",1893
"LTAR19-018","Samp","Mg Multical","","-","ppm",5.50,"-","-"
"LTAR19-018","Samp","Ca Multical","o","-","ppm",6.68,"-","-"
"LTAR19-018","Samp","Al 394.401","",87.92,"ppm",87.92,"ppm",2154962
"LTAR19-018","Samp","Cu 324.754","",0.12,"ppm",0.12,"ppm",8404
"LTAR19-018","Samp","Fe 238.204","",168.9,"ppm",168.9,"ppm",6708909
"LTAR19-018","Samp","K MultiCal","","-","ppm",6.35,"-","-"
"LTAR19-018","Samp","Mn 259.372","",5.39,"ppm",5.39,"ppm",582595
"LTAR19-018","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",103.3
"LTAR19-018","Samp","Na MultiCal","","-","ppm",0.69,"-","-"
"LTAR19-018","Samp","Ni 230.299","",0.12,"ppm",0.12,"ppm",1569
"LTAR19-018","Samp","P multical","","-","ppm",4.65,"-","-"
"LTAR19-018","Samp","S 181.972","",1.53,"ppm",1.53,"ppm",682.7
"LTAR19-018","Samp","Zn 206.200","",0.34,"ppm",0.34,"ppm",1657
"LTAR19-019","Samp","Mg Multical","","-","ppm",5.25,"-","-"
"LTAR19-019","Samp","Ca Multical","o","-","ppm",6.59,"-","-"
"LTAR19-019","Samp","Al 394.401","",98.49,"ppm",98.49,"ppm",2379641
"LTAR19-019","Samp","Cu 324.754","",0.16,"ppm",0.16,"ppm",10973
"LTAR19-019","Samp","Fe 238.204","x",314.4,"ppm",314.4,"ppm",10163705
"LTAR19-019","Samp","K MultiCal","","-","ppm",8.14,"-","-"
"LTAR19-019","Samp","Mn 259.372","",4.76,"ppm",4.76,"ppm",515693
